"","name","OPS","AVG","RISP"
"1","최재훈",0.77,0.3,0.33
"2","이용규",0.72,0.29,0.29
"3","정진호",0.7,0.28,0.19
"4","노시환",0.69,0.22,0.16
"5","노수광",0.65,0.25,0.22
"6","강경학",0.69,0.23,0.18
"7","송광민",0.65,0.235,0.27
"8","오선진",0.59,0.23,0.19
"9","최진행",0.67,0.23,0.21
"10","이성열",0.6,0.2,0.19
"11","정은원",0.7,0.25,0.23
"12","반즈",0.77,0.27,0.35
"13","하주석",0.67,0.29,0.31
"14","이해창",0.72,0.27,0.39
"15","김태균",0.61,0.22,0.32
"16","노태형",0.56,0.22,0.21
"17","임종찬",0.6,0.23,0.22
"18","최인호",0.5,0.24,0.23
