"","name","FIP","BB_9","SO_9","WHIP"
"1","박상원",4.23,2.22,5.78,1.41
"2","김진영",3.96,2.44,6.22,1.3
"3","윤대경",3.79,2.78,4.67,1.43
"4","김종수",4.72,2.89,4.78,1.6
"5","강재민",2.71,2,6.33,1.2
"6","정우람",3.09,1.33,5.89,1.29
"7","안영명",5.52,2,3.78,1.51
"8","서폴드",4.52,4.67,10.78,1.48
"9","김민우",4.52,8,13.78,1.45
"10","송윤준",4.2,1.44,1.78,1.57
"11","장시환",4.79,8.22,12.78,1.61
"12","김범수",5.62,4.67,6.11,1.76
"13","장민재",4,1.44,3.56,1.73
"14","김진욱",6.54,2.78,3.22,1.68
"15","황영국",5.79,1.56,1.89,2.22
