"","name","OPS","AVG","RISP"
"1","김혜성",0.744,0.285,0.366
"2","이정후",0.921,0.333,0.354
"3","김하성",0.92,0.306,0.319
"4","서건창",0.776,0.277,0.3
"5","박준태",0.72,0.245,0.173
"6","전병우",0.667,0.237,0.28
"7","박동원",0.764,0.25,0.25
"8","허정협",0.754,0.268,0.25
"9","이지영",0.727,0.309,0.333
"10","박병호",0.802,0.223,0.227
"11","박정음",0.488,0.186,0.182
"12","김웅빈",0.789,0.275,0.197
"13","러셀",0.653,0.254,0.274
"14","주효상",0.534,0.19,0.095
"15","김규민",0.527,0.208,0.182
